ID HIP TYC2 WDS RA DEC Umag Bmag Vmag Rmag Imag Jmag Hmag Kmag dist(pc) M_V Type Lstar(Lsun) WDSsep(") WDSdmag(mags) pmRA(mas/yr) pmDEC(mas/yr)
---------------------------------
          20 |          191 |  |  |      0.612961 |      -46.0289 |           NaN |       13.9200 |       12.4300 |       12.0570 |       10.4200 |       9.17900 |       8.51800 |       8.34000 |       37.1374 |       9.58094 | M3 |     0.0499487 |           NaN |           NaN |       200.937 |      -11.6300
          21 |          194 |  |  |      0.623759 |       8.48546 |           NaN |       6.01500 |       5.70000 |           NaN |       5.34000 |       5.07700 |       5.00800 |       4.91000 |       37.3340 |       2.83947 | F0V |       5.89833 |           NaN |           NaN |      -93.3930 |      -46.8000
          22 |          223 |  | J00028+0208AB |      0.696563 |       2.13016 |           NaN |       7.78700 |       7.17000 |           NaN |       6.48000 |       6.05900 |       5.77900 |       5.67400 |       43.1053 |       3.99735 | G0 |       2.21473 |       1.60000 |       1.96000 |       61.7110 |      -93.1710
          23 |          263 |  |  |      0.829178 |       4.68693 |           NaN |       13.5130 |       12.0400 |       11.5970 |       10.2900 |       8.83300 |       8.18300 |       7.97600 |       28.6600 |       9.75362 | M1 |     0.0390912 |           NaN |           NaN |      -25.7610 |      -84.2860
          24 |          296 |  |  |      0.922853 |      -28.3962 |           NaN |       9.02000 |       8.24000 |           NaN |       7.42000 |       6.97000 |       6.62100 |       6.55400 |       40.2123 |       5.21820 | G8V |      0.793292 |           NaN |           NaN |       281.377 |      -142.027
          25 |          305 |  |  |      0.972308 |      -28.3938 |           NaN |       8.40100 |       7.66000 |           NaN |       6.87000 |       6.42800 |       6.11600 |       6.02200 |       46.9043 |       4.30394 | G5IV |       1.77624 |           NaN |           NaN |       88.6400 |      -16.3600
          26 |          350 |  |  |       1.09914 |      -57.3227 |           NaN |       11.4700 |       10.3700 |           NaN |       9.31000 |       8.40500 |       7.86600 |       7.74500 |       48.4583 |       6.94316 | K5V |      0.221175 |           NaN |           NaN |      -39.6590 |       73.3440
          27 |          351 |  |  |       1.10367 |      -47.0680 |           NaN |       10.6550 |       9.80000 |           NaN |       8.90000 |       8.21500 |       7.77400 |       7.65400 |       47.9207 |       6.39738 | K0V |      0.281930 |           NaN |           NaN |       292.563 |       35.6080
          28 |          359 |  |  |       1.14617 |      -76.8736 |           NaN |       9.72900 |       9.09000 |           NaN |       8.39000 |       7.89500 |       7.56500 |       7.50900 |       44.3066 |       5.85766 | G3/G5III/IV |      0.400860 |           NaN |           NaN |       158.562 |      -20.8660
          29 |          375 |  | J00047+3416C |       1.16766 |       34.2714 |           NaN |           NaN |       9.00000 |           NaN |           NaN |           NaN |           NaN |           NaN |       28.9687 |       6.69035 | ? |          -NaN |       26.0000 |      -3.00000 |       94.7800 |      -80.1100
          30 |          394 |  |  |       1.22400 |       34.6598 |       6.82000 |       6.72200 |       6.09000 |       5.56000 |       5.36000 |       4.84000 |       4.49700 |       4.43800 |       35.3568 |       3.34764 | G2V |       4.04303 |           NaN |           NaN |       795.983 |       121.538
          31 |          400 |  |  |       1.23467 |       23.2696 |           NaN |       8.57500 |       7.82000 |       7.30000 |       7.02000 |       6.39800 |       6.02700 |       5.93200 |       26.3681 |       5.71460 | G9V |      0.489683 |           NaN |           NaN |       382.548 |      -7.27300
          32 |          407 |  |  |       1.24465 |      -70.2124 |           NaN |       8.84000 |       8.13000 |           NaN |       7.37000 |       6.88200 |       6.64900 |       6.50200 |       44.2370 |       4.90107 | G5V |       1.00967 |           NaN |           NaN |       52.5330 |      -96.3470
          33 |          420 |  |  |       1.28123 |      -52.1517 |           NaN |       8.10700 |       7.53000 |           NaN |       6.88000 |       6.50100 |       6.21400 |       6.16800 |       42.3273 |       4.39690 | G0V |       1.50784 |           NaN |           NaN |      -110.865 |      -129.764
