Radius
0.49	1.0	1.75	3.5	6.0	14.4
Flux
300.	184.	1.06	0.29	0.0032	0.001
300.	187.	1.13	0.31	0.003	0.001
300.	203.	1.38	0.38	0.003	0.001
300.	220.	1.65	0.42	0.0027	0.001
300.	220.	1.67	0.42	0.0025	0.001
