Phase_Function
0	1.0000	1.0000
10	0.8288	1.0000
20	0.6809	1.0000
30	0.5666	1.0000
40	0.4875	1.0084
50	0.4405	1.0000
60	0.4045	1.0000
70	0.3758	1.0000
80	0.3556	1.0000
90	0.3360	1.0000
100	0.3179	1.0000
110	0.2951	1.0193
120	0.2745	1.1913
130	0.2722	1.5015
140	0.2713	2.1481
150	0.2732	3.7374
160	0.2763	7.4247
170	0.3129	12.4503
180	0.3129	12.4503
