Occ, a_min, a_mid, a_max, M_min, M_mid, M_max 
0.000147,0.06,0.061893650810810504,0.0638470668448424,0.07999999999999999,0.08452125887808527,0.08929804002920383
0.00013,0.06,0.061893650810810504,0.0638470668448424,0.08929804002920383,0.09434478448267444,0.09967674941321612
0.000125,0.06,0.061893650810810504,0.0638470668448424,0.09967674941321612,0.10531005426600588,0.11126172948852864
0.000153,0.06,0.061893650810810504,0.0638470668448424,0.11126172948852864,0.11754976801654278,0.12419317966981348
0.000142,0.06,0.061893650810810504,0.0638470668448424,0.12419317966981348,0.13121204862206076,0.13862759411886386
0.000122,0.06,0.061893650810810504,0.0638470668448424,0.13862759411886386,0.14646223462708277,0.15473965560973155
0.000143,0.06,0.061893650810810504,0.0638470668448424,0.15473965560973155,0.1634848811311985,0.1727243495092878
0.00014,0.06,0.061893650810810504,0.0638470668448424,0.1727243495092878,0.1824859932427924,0.1927993234562322
0.000145,0.06,0.061893650810810504,0.0638470668448424,0.1927993234562322,0.20369551911704872,0.21520752129497553
0.000139,0.06,0.061893650810810504,0.0638470668448424,0.21520752129497553,0.22737013274854592,0.24022012313980576
0.000139,0.06,0.061893650810810504,0.0638470668448424,0.24022012313980576,0.25379634019531294,0.26813982714948303
0.000151,0.06,0.061893650810810504,0.0638470668448424,0.26813982714948303,0.28329394682533116,0.2993045127277292
0.000165,0.06,0.061893650810810504,0.0638470668448424,0.2993045127277292,0.31621992754549455,0.3340913294810264
0.000152,0.06,0.061893650810810504,0.0638470668448424,0.3340913294810264,0.3529727468498688,0.37292126141758264
0.000163,0.06,0.061893650810810504,0.0638470668448424,0.37292126141758264,0.3939971809677202,0.41626422162260607
0.000159,0.06,0.061893650810810504,0.0638470668448424,0.41626422162260607,0.4397897004681118,0.46464473906476067
0.000157,0.06,0.061893650810810504,0.0638470668448424,0.46464473906476067,0.4909044784604127,0.5186483063545496
0.000162,0.06,0.061893650810810504,0.0638470668448424,0.5186483063545496,0.547960097100917,0.5789284652740918
0.000172,0.06,0.061893650810810504,0.0638470668448424,0.5789284652740918,0.6116470335665513,0.6462147158261423
0.000174,0.06,0.061893650810810504,0.0638470668448424,0.6462147158261423,0.6827360160896209,0.7213213445162929
0.000159,0.06,0.061893650810810504,0.0638470668448424,0.7213213445162929,0.7620873511768764,0.805157278706688
0.000159,0.06,0.061893650810810504,0.0638470668448424,0.805157278706688,0.8506613348892827,0.8987370862969332
0.000189,0.06,0.061893650810810504,0.0638470668448424,0.8987370862969332,0.9495298741779894,1.0031932538484196
0.000183,0.06,0.061893650810810504,0.0638470668448424,1.0031932538484196,1.0598894589158872,1.1197898917397926
0.000158,0.06,0.061893650810810504,0.0638470668448424,1.1197898917397926,1.183075641610026,1.249938032210973
0.000179,0.06,0.061893650810810504,0.0638470668448424,1.249938032210973,1.3205792000258516,1.3952127054299968
0.00015,0.06,0.061893650810810504,0.0638470668448424,1.3952127054299968,1.4740641783205308,1.5573720002342704
0.00018,0.06,0.061893650810810504,0.0638470668448424,1.5573720002342704,1.6453880250160273,1.7383783402160131
0.000174,0.06,0.061893650810810504,0.0638470668448424,1.7383783402160131,1.8366240715181728,1.9404222326313807
0.000282,0.06,0.061893650810810504,0.0638470668448424,1.9404222326313807,2.050086623212864,2.1659487775384263
0.000394,0.06,0.061893650810810504,0.0638470668448424,2.1659487775384263,2.2883589667874706,2.417687257972894
0.000409,0.06,0.061893650810810504,0.0638470668448424,2.417687257972894,2.5543246327171887,2.6986841692569943
0.000382,0.06,0.061893650810810504,0.0638470668448424,2.6986841692569943,2.851202291249511,3.0123400871561223
0.000413,0.06,0.061893650810810504,0.0638470668448424,3.0123400871561223,3.1825847041919566,3.3624508210555346
0.000442,0.06,0.061893650810810504,0.0638470668448424,3.3624508210555346,3.552482203890815,3.7532533501855805
0.00038,0.06,0.061893650810810504,0.0638470668448424,3.7532533501855805,3.9653712255759532,4.189477098807692
0.0004,0.06,0.061893650810810504,0.0638470668448424,4.189477098807692,4.42624848040168,4.676401170884524
0.0004,0.06,0.061893650810810504,0.0638470668448424,4.676401170884524,4.940691424776398,5.219918236878273
0.000414,0.06,0.061893650810810504,0.0638470668448424,5.219918236878273,5.514925757770336,5.82660584582409
0.000406,0.06,0.061893650810810504,0.0638470668448424,5.82660584582409,6.155900763443285,6.5038060256849075
0.000449,0.06,0.061893650810810504,0.0638470668448424,6.5038060256849075,6.871373409872062,7.25971413529735
0.000471,0.06,0.061893650810810504,0.0638470668448424,7.25971413529735,7.670002222629526,8.103478043179491
0.000454,0.06,0.061893650810810504,0.0638470668448424,8.103478043179491,8.561452068755672,9.045308833445212
0.000458,0.06,0.061893650810810504,0.0638470668448424,9.045308833445212,9.556511119298175,10.096604378568765
0.000511,0.06,0.061893650810810504,0.0638470668448424,10.096604378568765,10.66722140588275,11.27008727445586
0.000137,0.06,0.061893650810810504,0.0638470668448424,11.27008727445586,11.907024551286224,12.579958807087245
6.2e-05,0.06,0.061893650810810504,0.0638470668448424,12.579958807087245,13.290924437618376,14.042070814012659
6.3e-05,0.06,0.061893650810810504,0.0638470668448424,14.042070814012659,14.835668780694615,15.67411752053271
3.7e-05,0.06,0.061893650810810504,0.0638470668448424,15.67411752053271,16.55995180798096,17.49584967213718
3.6e-05,0.06,0.061893650810810504,0.0638470668448424,17.49584967213718,18.484640492884626,19.529313554592992
4.4e-05,0.06,0.061893650810810504,0.0638470668448424,19.529313554592992,20.63302708323817,21.799117794261466
4.3e-05,0.06,0.061893650810810504,0.0638470668448424,21.799117794261466,23.03111098003311,24.332731167416135
4.2e-05,0.06,0.061893650810810504,0.0638470668448424,24.332731167416135,25.707913377650407,27.160815022597262
3.6e-05,0.06,0.061893650810810504,0.0638470668448424,27.160815022597262,28.695828473309135,30.317594338921154
3.7e-05,0.06,0.061893650810810504,0.0638470668448424,30.317594338921154,32.03101549600908,33.84127191082679
2.4e-05,0.06,0.061893650810810504,0.0638470668448424,33.84127191082679,35.75383629923332,37.77449067165226
2.3e-05,0.06,0.061893650810810504,0.0638470668448424,37.77449067165226,39.909343813081726,42.1648497509999
2e-05,0.06,0.061893650810810504,0.0638470668448424,42.1648497509999,44.547827266997885,47.06548051112691
